Date,Open,High,Low,Close,Adj Close,Volume,Turnover (Lacs)
2020-08-21,2260,2271,2241.050049,2248.600098,2219.079834,1975294,1975294
2020-08-24,2250.600098,2259.949951,2230,2248.100098,2218.586426,2167966,2167966
2020-08-25,2245,2250,2233.550049,2242.649902,2213.208008,1663419,1663419
2020-08-26,2242,2259.899902,2216.449951,2253.5,2223.915527,2618149,2618149
2020-08-27,2266,2287.350098,2241.75,2248.399902,2218.88208,3579393,3579393
2020-08-28,2268.399902,2279.949951,2235.100098,2238.550049,2209.161377,2941136,2941136
2020-08-31,2240,2276.199951,2228,2257.25,2227.616211,6018154,6018154
2020-09-01,2269,2278,2241.300049,2246.350098,2216.859375,3610908,3610908
2020-09-02,2247,2268.75,2241.649902,2265.149902,2235.412354,2084137,2084137
2020-09-03,2268,2324,2268,2299.5,2269.311279,4654146,4654146
2020-09-04,2275,2324.25,2262.949951,2288.800049,2258.751709,5231303,5231303
2020-09-07,2289,2343.5,2283.350098,2327.050049,2296.499756,4620401,4620401
2020-09-08,2335.949951,2390.449951,2327.050049,2348.199951,2317.371826,7453998,7453998
2020-09-09,2325,2359,2320,2327.649902,2297.092041,3866535,3866535
2020-09-10,2335,2348.5,2324.300049,2331.149902,2300.545654,2308813,2308813
2020-09-11,2330.949951,2383,2330.149902,2374.100098,2342.932129,4145424,4145424
2020-09-14,2384.100098,2505.75,2381.850098,2491.399902,2458.692139,7512131,7512131
2020-09-15,2491.399902,2538,2464.600098,2491.399902,2458.692139,7318770,7318770
2020-09-16,2488.949951,2507.600098,2477.300049,2503,2470.140137,3074003,3074003
2020-09-17,2480,2495.75,2450.600098,2460.949951,2428.641846,4828176,4828176
2020-09-18,2485,2500.399902,2436.399902,2449.899902,2417.736816,4183256,4183256
2020-09-21,2465,2504.899902,2452.149902,2465.300049,2432.934814,4598809,4598809
2020-09-22,2485,2555,2458,2522.949951,2489.828125,7499613,7499613
2020-09-23,2510,2519.850098,2409,2467.449951,2435.056152,7502280,7502280
2020-09-24,2450,2450,2302.600098,2332.25,2301.631348,8424708,8424708
2020-09-25,2368,2440,2352.100098,2422.300049,2390.499268,8228267,8228267
2020-09-28,2440,2444,2366,2426.300049,2394.446777,4347166,4347166
2020-09-29,2434.850098,2511.050049,2426.300049,2488.399902,2455.731445,6995811,6995811
2020-09-30,2489,2505,2460,2492.300049,2459.580322,3917166,3917166
2020-10-01,2510,2540,2492.300049,2523.449951,2490.321289,2610337,2610337
2020-10-05,2620,2728.100098,2603.050049,2705.800049,2670.277344,17412105,17412105
2020-10-06,2736,2736,2650.100098,2714.300049,2678.666016,9846367,9846367
2020-10-07,2742,2770,2703,2735.949951,2700.031738,9656101,9656101
2020-10-08,2800,2885,2800,2825.699951,2788.603516,19839329,19839329
2020-10-09,2810,2829.850098,2780,2812.949951,2776.020752,7739245,7739245
2020-10-12,2815.5,2854,2800.75,2830,2792.846924,4623203,4623203
2020-10-13,2845,2854.899902,2812.199951,2826.550049,2789.442139,4209878,4209878
2020-10-14,2842,2842,2787.550049,2809.600098,2784.536377,4395936,4395936
2020-10-15,2811,2827.75,2727,2740.600098,2716.1521,6629355,6629355
2020-10-16,2750.100098,2771.649902,2731.300049,2763.300049,2738.649414,5273773,5273773
2020-10-19,2774,2774,2706.600098,2711.550049,2687.36084,3331194,3331194
2020-10-20,2725,2759.899902,2717.949951,2739,2714.566162,3406273,3406273
2020-10-21,2739,2749,2663.050049,2675.399902,2651.533203,4570143,4570143
2020-10-22,2661,2686.649902,2638.100098,2671.149902,2647.321289,5262294,5262294
2020-10-23,2687.800049,2702,2670.100098,2686.800049,2662.831787,3499091,3499091
2020-10-26,2689.949951,2709.949951,2670.5,2688.199951,2664.219238,2672752,2672752
2020-10-27,2699.75,2718.149902,2624.100098,2630.149902,2606.687012,3537502,3537502
2020-10-28,2650,2655.949951,2606,2622.199951,2598.808105,3569445,3569445
2020-10-29,2608,2655,2600.25,2632.649902,2609.164795,3105968,3105968
2020-10-30,2636.100098,2674.350098,2621.600098,2664.850098,2641.077881,3427003,3427003
2020-11-02,2660,2664.850098,2600.050049,2604.600098,2581.36499,2571196,2571196
2020-11-03,2604,2665,2601.050049,2633.600098,2610.106689,2879269,2879269
2020-11-04,2610,2721.850098,2610,2653.149902,2629.481934,4893928,4893928
2020-11-05,2685,2710,2667,2685.699951,2661.741699,2816502,2816502
2020-11-06,2699,2713.25,2681.300049,2707.449951,2683.297363,3884421,3884421
2020-11-09,2731.100098,2744,2695.100098,2726.600098,2702.276855,3646592,3646592
2020-11-10,2697.199951,2713.149902,2638.350098,2649.600098,2625.963867,4760020,4760020
2020-11-11,2667.949951,2692.800049,2643.399902,2687.800049,2663.822754,3242441,3242441
2020-11-12,2686,2713,2661.75,2671.050049,2647.222412,2437505,2437505
2020-11-13,2655.75,2664.899902,2636,2656.850098,2633.14917,2548093,2548093
2020-11-14,null,null,null,null,null,null,null
2020-11-17,2695,2695,2650.050049,2666.050049,2642.26709,2827273,2827273
2020-11-18,2661,2664.199951,2607.050049,2626.649902,2603.218262,2893762,2893762
2020-11-19,2637,2676.149902,2630.850098,2636.899902,2613.376709,4167501,4167501
2020-11-20,2655,2676,2627.550049,2660.25,2636.518555,2711471,2711471
2020-11-23,2690,2730,2665,2724.25,2699.94751,3706418,3706418
2020-11-24,2734.399902,2743,2705,2722.050049,2697.767334,3120516,3120516
2020-11-25,2729,2732.949951,2688.199951,2701.300049,2677.202637,3302249,3302249
2020-11-26,2686,2730.949951,2680,2720.600098,2696.330322,2341099,2341099
2020-11-27,2705,2717.699951,2669.050049,2679.649902,2655.745605,6086808,6086808
2020-12-01,2679,2735.899902,2624.449951,2726.800049,2702.474854,3605017,3605017
2020-12-02,2719,2754.699951,2702.449951,2749.550049,2725.021973,2509032,2509032
2020-12-03,2773.899902,2773.899902,2700.800049,2709.449951,2685.279785,2852548,2852548
2020-12-04,2710.800049,2738.850098,2699,2727.550049,2703.218262,2686527,2686527
2020-12-07,2715,2744,2706.149902,2737.699951,2713.277588,1996400,1996400
2020-12-08,2740,2805.550049,2732.449951,2797.300049,2772.346191,4277818,4277818
2020-12-09,2815,2840,2793.149902,2810.800049,2785.72583,3659996,3659996
2020-12-10,2818,2827.300049,2780.25,2784.300049,2759.461914,2127801,2127801
2020-12-11,2792.699951,2807.699951,2764.550049,2783.600098,2758.768555,1795408,1795408
2020-12-14,2802,2804,2756.25,2797.699951,2772.742432,2483658,2483658
2020-12-15,2786,2794.699951,2755,2761.550049,2736.915039,2365509,2365509
2020-12-16,2779,2819.800049,2760.449951,2814.199951,2789.095459,2565149,2565149
2020-12-17,2811,2853.699951,2805,2838.199951,2812.881104,2863460,2863460
2020-12-18,2868,2898,2846.199951,2861,2835.477783,6076692,6076692
2020-12-21,2861,2886.5,2785,2820.149902,2794.992188,2705195,2705195
2020-12-22,2834,2883.649902,2818.649902,2872.5,2846.875,2881737,2881737
2020-12-23,2876.050049,2919,2865.449951,2908.75,2882.802002,2790988,2790988
2020-12-24,2909,2921.350098,2883.199951,2909.350098,2883.396729,1807144,1807144
2020-12-28,2910,2949.699951,2902,2929.399902,2903.267578,2108994,2108994
2020-12-29,2920,2952,2920,2930.5,2904.357666,1994151,1994151
2020-12-30,2934.399902,2947.699951,2902,2909.300049,2883.346924,2637968,2637968
2020-12-31,2900,2905,2845,2862.75,2837.212158,4040956,4040956
2021-01-01,2880,2940,2879,2928.25,2902.12793,2681440,2681440
2021-01-04,2950,3050.75,2940.949951,3039.449951,3012.335938,5113293,5113293
2021-01-05,3039.600098,3114.25,3039.600098,3093,3065.408203,5801309,5801309
2021-01-06,3100,3113.5,3037.199951,3051.5,3024.27832,3726716,3726716
2021-01-07,3075,3080.850098,3000.25,3032.800049,3005.745117,3717827,3717827
2021-01-08,3090,3128,3060,3120.899902,3093.059082,5879039,5879039
2021-01-11,3230,3230,3146.550049,3176.449951,3148.113525,9508039,9508039
2021-01-12,3176.449951,3210,3150,3174.850098,3146.52832,3611458,3611458
2021-01-13,3175,3177,3126.25,3158.949951,3130.769775,3572801,3572801
2021-01-14,3155,3266.5,3120.399902,3250.699951,3227.832275,6931542,6931542
2021-01-15,3235,3274,3210,3233.350098,3210.604492,4131692,4131692
2021-01-18,3250,3256.75,3187.399902,3221.75,3199.085938,4160906,4160906
2021-01-19,3233,3279,3232,3260.699951,3237.761719,2975735,2975735
2021-01-20,3270,3327.949951,3267.100098,3308.800049,3285.523438,3453446,3453446
2021-01-21,3305,3309.149902,3262.100098,3273.850098,3250.819336,2778546,2778546
2021-01-22,3241.899902,3325,3241.899902,3303.100098,3279.86377,3052459,3052459
2021-01-25,3308.949951,3339.800049,3278.649902,3291.300049,3268.146484,2272887,2272887
2021-01-27,3300,3306.449951,3227,3261.050049,3238.109375,2786662,2786662
2021-01-28,3230,3275,3183.800049,3196.550049,3174.062988,3083938,3083938
2021-01-29,3210.050049,3216.850098,3100,3111.350098,3089.462646,5445659,5445659
2021-02-01,3100,3165,3044.100098,3139.350098,3117.265625,3985846,3985846
2021-02-02,3174,3224,3150,3203.449951,3180.914551,2881837,2881837
2021-02-03,3213,3236,3162.649902,3200.050049,3177.538574,2505866,2505866
2021-02-04,3216.050049,3237.850098,3176,3188.449951,3166.02002,2057261,2057261
2021-02-05,3198.949951,3205.850098,3129,3157.949951,3135.734619,2366135,2366135
2021-02-08,3189.5,3226,3155.149902,3214.100098,3191.48999,2526592,2526592
2021-02-09,3195,3245.800049,3164,3176.899902,3154.55127,2658751,2658751
2021-02-10,3185,3219.399902,3157.300049,3213.300049,3190.695313,2127983,2127983
2021-02-11,3215,3219.300049,3185.050049,3206,3183.446533,1165882,1165882
2021-02-12,3184.199951,3245.5,3182,3190.800049,3168.353516,2777404,2777404
2021-02-15,3209,3209,3131.550049,3139.850098,3117.762207,2630853,2630853
2021-02-16,3150,3167.649902,3100,3108.800049,3086.93042,3435770,3435770
2021-02-17,3105.100098,3132.850098,3045.550049,3073.100098,3051.481689,3678426,3678426
2021-02-18,3065,3097.899902,3031,3057.350098,3035.842529,4189909,4189909
2021-02-19,3058,3087.149902,3016.149902,3071.850098,3050.240479,3725028,3725028
2021-02-22,3096,3096,2943.149902,2958.449951,2937.638184,5366696,5366696
2021-02-23,2970,3028,2968,2980.199951,2959.235107,3832829,3832829
2021-02-24,2972,3003.350098,2921.149902,2948.100098,2927.361084,3774549,3774549
2021-02-25,2974,3029.899902,2968.449951,2995.300049,2974.229004,4224073,4224073
2021-02-26,2960,2972.350098,2880,2894.300049,2873.939453,5553153,5553153
2021-03-01,2926,2965,2901.800049,2924.199951,2903.62915,3265871,3265871
2021-03-02,2960,3025,2948,3006.350098,2985.201416,3306469,3306469
2021-03-03,3035,3064,2996.899902,3059.100098,3037.580078,3509857,3509857
2021-03-04,3023,3081.449951,3016.050049,3049.699951,3028.246094,3916760,3916760
2021-03-05,3016.100098,3063.199951,2996.600098,3008.050049,2986.88916,3203686,3203686
2021-03-08,3016,3033,2996,3006.949951,2985.796875,2003125,2003125
2021-03-09,3006.949951,3066.899902,2992.100098,3050.949951,3029.487305,1942397,1942397
2021-03-10,3075,3093.199951,3060,3070.949951,3049.34668,3053778,3053778
2021-03-12,3075,3117,3041.350098,3057.949951,3036.438232,2938317,2938317
2021-03-15,3041,3099,3041,3066.149902,3044.580322,3097083,3097083
2021-03-16,3060,3141,3060,3110.050049,3088.171631,4894756,4894756
2021-03-17,3105,3155,3085.300049,3112.949951,3091.051025,3838390,3838390
2021-03-18,3125.949951,3146.449951,2987.050049,3036.5,3015.13916,3656306,3656306
2021-03-19,3030,3099,3005,3050.199951,3028.742432,5776626,5776626
2021-03-22,3048.699951,3139.449951,3018.649902,3129.649902,3107.633545,2821646,2821646
2021-03-23,3140,3169,3122.850098,3142.600098,3120.492676,3305973,3305973
2021-03-24,3111.199951,3152.300049,3111.149902,3121.100098,3099.144043,2207104,2207104
2021-03-25,3112.199951,3130.850098,3050,3064.850098,3043.289551,3179786,3179786
2021-03-26,3090.649902,3118,3043.050049,3066.800049,3045.22583,3697370,3697370
2021-03-30,3083,3188.449951,3060.899902,3158.550049,3136.330566,4694008,4694008
2021-03-31,3155,3205,3132,3177.850098,3155.494629,3530069,3530069
2021-04-01,3191.100098,3215,3145,3165,3142.734863,4285076,4285076
2021-04-05,3171,3263,3151,3238.899902,3216.11499,5317862,5317862
2021-04-06,3275,3275,3230,3264.699951,3241.733643,2291562,2291562
2021-04-07,3259,3277.550049,3234.800049,3271.399902,3248.386475,2491268,2491268
2021-04-08,3270,3335,3266.050049,3317.350098,3294.013428,2578118,2578118
2021-04-09,3354,3354.350098,3308,3322.25,3298.878906,2911129,2911129
2021-04-12,3322.25,3338.100098,3213.199951,3246.550049,3223.71167,3791828,3791828
2021-04-13,3214,3214,3073.050049,3104.050049,3082.213867,8654596,8654596
2021-04-15,3160.300049,3237.25,3087.449951,3218.949951,3196.305664,6062760,6062760
2021-04-16,3229,3247,3182.600098,3195.149902,3172.672852,3224657,3224657
2021-04-19,3169,3189,3135.100098,3161.800049,3139.557617,2679106,2679106
2021-04-20,3225,3225.350098,3126.350098,3144.550049,3122.428955,3141893,3141893
2021-04-22,3148,3148,3105.25,3118.800049,3096.860107,1988980,1988980
2021-04-23,3105,3119,3091.050049,3109.5,3087.625488,1615309,1615309
2021-04-26,3102.050049,3153,3088.050049,3100.800049,3078.986816,2490260,2490260
2021-04-27,3106,3136.100098,3103,3132,3109.967041,1471417,1471417
2021-04-28,3149.949951,3151,3112,3124.100098,3102.122803,1639037,1639037
2021-04-29,3145.600098,3157.350098,3105.5,3115.25,3093.334961,1621395,1621395
2021-04-30,3099,3132.050049,3020,3035.649902,3014.295166,3072305,3072305
2021-05-03,3024.899902,3055,3004,3037,3015.635742,1545831,1545831
2021-05-04,3062.800049,3090,3035,3049.75,3028.295654,1990777,1990777
2021-05-05,3070,3099.399902,3052.399902,3095.699951,3073.922607,1939289,1939289
2021-05-06,3105.5,3134,3074,3111.449951,3089.561768,1791671,1791671
2021-05-07,3133,3159.850098,3111.800049,3132.899902,3110.86084,1912540,1912540
2021-05-10,3145.949951,3164.199951,3125,3145.5,3123.37207,2137153,2137153
2021-05-11,3125,3128.100098,3091.149902,3122.600098,3100.633545,2415625,2415625
2021-05-12,3120,3120,3070.600098,3087.600098,3065.879639,1978558,1978558
2021-05-14,3098.5,3098.5,3040,3051.5,3030.033447,2043935,2043935
2021-05-17,3055,3075.199951,3036,3069.75,3048.155273,2890462,2890462
2021-05-18,3100,3124,3078,3088.800049,3067.071289,2098538,2098538
2021-05-19,3084,3118,3067.100098,3082,3060.318848,1986041,1986041
2021-05-20,3067.100098,3088.800049,3052.100098,3060,3038.473633,2329027,2329027
2021-05-21,3061,3088.199951,3055.100098,3080.5,3058.829346,1685566,1685566
2021-05-24,3081.5,3105,3072,3081.5,3059.82251,1652260,1652260
2021-05-25,3092,3128.25,3082.100098,3114,3107.218994,1841613,1841613
2021-05-26,3120,3165,3103.800049,3158.5,3151.62207,1923753,1923753
2021-05-27,3161.949951,3217.75,3161.800049,3180,3173.075195,5959785,5959785
2021-05-28,3189.5,3198,3135.649902,3143.600098,3136.754639,1763701,1763701
2021-05-31,3150,3170.350098,3128.600098,3159.149902,3152.270508,1652799,1652799
2021-06-01,3168.600098,3169.949951,3132,3153,3146.134033,1377441,1377441
2021-06-02,3150.850098,3159.449951,3115,3129.449951,3122.635254,2240078,2240078
2021-06-03,3154.550049,3154.550049,3122.649902,3141.25,3134.409668,1281706,1281706
2021-06-04,3128,3156.850098,3125,3143.75,3136.904297,1836060,1836060
2021-06-07,3145,3190.449951,3133.600098,3183.199951,3176.268311,2559821,2559821
2021-06-08,3198,3231,3187.199951,3200.149902,3193.181152,2574057,2574057
2021-06-09,3202,3220,3186.199951,3200.25,3193.28125,1710925,1710925
2021-06-10,3210,3224,3193,3216.800049,3209.795166,1874324,1874324
2021-06-11,3211.550049,3309,3211,3273.800049,3266.671143,3452954,3452954
2021-06-14,3279,3308.699951,3270.350098,3276.350098,3269.215576,1847360,1847360
2021-06-15,3298,3298,3251.550049,3262.75,3255.64502,1304985,1304985
2021-06-16,3262.100098,3294.699951,3253,3274.350098,3267.219971,1635552,1635552
2021-06-17,3265.5,3336.050049,3260,3317.75,3310.525391,2273413,2273413
2021-06-18,3350.899902,3358,3275,3297.300049,3290.119873,3380431,3380431
2021-06-21,3265,3286,3251.699951,3273.100098,3265.972656,1130569,1130569
2021-06-22,3304,3327.050049,3285,3301.199951,3294.01123,1708688,1708688
2021-06-23,3329,3329,3256.399902,3261.399902,3254.297852,1467104,1467104
2021-06-24,3284,3383,3278.5,3373.600098,3366.253662,4155204,4155204
2021-06-25,3375.25,3399.649902,3350,3380.800049,3373.437988,2722861,2722861
2021-06-28,3391.5,3391.5,3333,3336.75,3329.483887,1355238,1355238
2021-06-29,3342,3366.300049,3326.5,3340.850098,3333.575195,1497322,1497322
2021-06-30,3346,3382,3338.5,3345.75,3338.464355,1693146,1693146
2021-07-01,3358,3362,3332.350098,3341.5,3334.223633,990310,990310
2021-07-02,3331,3339.699951,3295.199951,3325.449951,3318.208496,1682274,1682274
2021-07-05,3342,3374,3302,3321,3313.768311,1972858,1972858
2021-07-06,3313,3328,3256.100098,3262.300049,3255.196045,2159420,2159420
2021-07-07,3275,3282.699951,3241.600098,3274.949951,3267.818359,2640710,2640710
2021-07-08,3298,3298,3231.899902,3258.5,3251.404297,2485811,2485811
2021-07-09,3250,3282,3201,3208.149902,3201.163818,6365067,6365067
2021-07-12,3235,3236,3188.350098,3193.100098,3186.146729,1892226,1892226
2021-07-13,3214,3214,3175,3187.550049,3180.608887,1809339,1809339
2021-07-14,3187,3222,3185,3214.550049,3207.550049,2044279,2044279
2021-07-15,3227.600098,3231.850098,3194,3202.949951,3202.949951,2232968,2232968
2021-07-16,3213,3219.850098,3192,3194.800049,3194.800049,1256526,1256526
2021-07-19,3180,3199.800049,3176,3184.600098,3184.600098,1597058,1597058
2021-07-20,3184.600098,3215,3156.149902,3205.800049,3205.800049,1811945,1811945
2021-07-22,3190,3224.949951,3190,3216.350098,3216.350098,2859334,2859334
2021-07-23,3230,3241.550049,3206.649902,3212.850098,3212.850098,1776193,1776193
2021-07-26,3200,3224.25,3190.850098,3197.550049,3197.550049,1259611,1259611
2021-07-27,3200,3210,3161.149902,3182.949951,3182.949951,1121367,1121367
2021-07-28,3188,3204.449951,3132.399902,3197.800049,3197.800049,1660654,1660654
2021-07-29,3200.25,3225.449951,3190.300049,3195.800049,3195.800049,1731997,1731997
2021-07-30,3219,3223.5,3162.350098,3167.449951,3167.449951,2999943,2999943
2021-08-02,3180,3224.899902,3167,3219.399902,3219.399902,2608669,2608669
2021-08-03,3229,3290,3218.949951,3284.899902,3284.899902,3804735,3804735
2021-08-04,3300,3305.199951,3261.199951,3273.949951,3273.949951,2929598,2929598
2021-08-05,3275,3315,3262.5,3283.949951,3283.949951,2534521,2534521
2021-08-06,3272.550049,3324,3265,3309.800049,3309.800049,2292362,2292362
2021-08-09,3323.899902,3337,3310,3322.699951,3322.699951,1510489,1510489
2021-08-10,3315.600098,3349.899902,3315.600098,3333.899902,3333.899902,2040777,2040777
2021-08-11,3350,3360,3327.100098,3344.199951,3344.199951,1929707,1929707
2021-08-12,3326,3368,3326,3351.75,3351.75,1310205,1310205
2021-08-13,3360.75,3480,3357.5,3463.399902,3463.399902,4363584,4363584
2021-08-16,3460,3494.350098,3436.5,3472.949951,3472.949951,2083489,2083489
2021-08-17,3482.100098,3560.800049,3463,3553.050049,3553.050049,4336019,4336019
2021-08-18,3573.850098,3595,3536.600098,3560.550049,3560.550049,2631309,2631309
2021-08-20,3506,3575,3500,3559.5,3559.5,2836148,2836148
